height,width,label
304,992,5
250,1853,9
153,258,15
46,172,5
196,956,6
320,168,2
246,1149,13
285,553,7
326,1880,10
324,1880,10
203,967,6
177,209,1
169,290,15
72,1270,10
59,213,5
109,616,14
40,93,7
268,1789,10
246,1152,13
278,1257,13
173,1020,1
206,247,2
295,1836,10
117,599,14
323,977,5
177,289,3
225,1173,13
280,1259,13
152,261,15
20,54,4
208,429,4
253,1170,13
327,1052,4
167,400,1
180,1345,11
250,1854,9
19,56,4
197,955,6
262,407,12
110,619,14
106,817,2
263,560,7
153,254,15
185,287,3
240,1160,13
210,969,6
105,817,2
311,1255,9
76,1270,10
62,212,5
313,1254,9
222,826,5
218,540,5
298,1834,10
209,968,6
179,288,3
297,1833,10
83,1250,12
107,604,14
198,956,6
189,728,12
110,602,14
205,969,6
59,211,5
336,779,7
299,1373,11
66,720,9
147,266,15
18,56,4
172,293,15
211,25,9
241,1357,11
305,1148,12
265,688,12
290,340,7
63,1120,6
200,950,6
45,172,5
200,953,6
325,1880,10
297,195,2
58,125,7
99,1182,4
196,955,6
70,1869,7
150,907,8
225,999,8
298,1374,11
216,542,5
153,261,15
150,259,15
109,606,14
228,1356,11
105,620,14
294,1374,11
149,1837,8
244,1271,12
45,173,5
127,780,1
306,1077,8
221,1176,13
328,1218,8
263,559,7
101,104,9
224,1171,13
255,1169,13
128,780,1
83,1840,7
193,953,6
250,220,7
103,615,14
194,952,6
285,554,7
199,954,6
202,957,6
255,73,1
307,1851,10
60,211,5
46,1299,11
251,1172,13
211,969,6
190,1309,10
188,977,4
220,1258,12
315,1011,5
151,255,15
67,758,12
282,1260,13
147,263,15
217,541,5
227,998,8
336,780,7
271,13,7
248,1150,13
74,264,8
252,1171,13
253,1172,13
117,600,14
29,1258,10
178,210,1
251,786,5
58,89,7
214,1124,1
324,978,5
169,277,3
9,769,1
64,1123,6
324,1877,10
105,815,2
206,428,4
107,611,14
143,1048,5
266,1789,10
186,288,3
259,67,1
60,214,5
230,1119,8
216,539,5
222,1237,12
18,57,4
304,993,5
170,274,3
156,281,15
118,599,14
328,213,9
221,62,7
277,1325,2
231,1118,8
217,542,5
309,494,7
50,1847,4
294,1835,10
305,1849,10
149,263,15
328,185,7
150,909,8
259,524,4
167,274,3
74,265,8
209,973,6
99,1181,4
205,38,7
243,953,4
211,26,9
152,279,15
64,722,9
68,447,4
152,256,15
106,650,2
108,613,14
203,1053,8
140,1295,10
185,1346,11
209,26,9
247,1166,13
244,952,4
144,240,12
296,1375,11
59,210,5
298,814,9
293,1373,11
176,209,1
6,771,1
148,260,15
108,623,14
107,617,14
124,558,9
154,258,15
179,213,1
267,689,12
109,619,14
303,1196,2
304,995,5
306,993,5
305,1146,12
182,289,3
283,1092,8
255,71,1
183,463,2
124,555,9
19,58,4
176,212,1
196,952,6
328,214,9
106,818,2
152,265,15
251,869,4
329,1053,4
108,620,14
230,1120,8
271,117,4
340,1181,8
228,1173,13
296,1832,10
217,539,5
46,174,5
172,1073,8
39,93,7
275,1324,2
307,1148,12
195,955,6
58,126,7
195,973,6
9,770,1
271,15,7
248,1165,13
268,691,12
201,1053,8
156,256,15
309,1851,10
170,279,3
148,267,15
153,257,15
306,1851,10
256,68,1
262,560,7
166,398,1
171,1031,6
170,276,3
320,1015,5
282,1091,8
252,1257,12
239,1356,11
149,261,15
115,252,4
293,79,2
109,1794,9
179,285,3
87,742,12
63,1121,6
303,1198,2
111,607,14
138,1296,10
176,837,12
155,261,15
26,1258,10
260,406,12
293,1374,11
211,1128,1
128,779,1
289,444,7
296,1372,11
302,1373,11
175,1022,1
67,720,9
126,557,9
149,1836,8
298,1373,11
172,1031,6
163,275,3
66,446,4
227,1170,13
203,969,6
288,1442,11
202,949,6
210,970,6
251,1171,13
40,120,7
200,955,6
239,1359,11
295,81,2
75,1268,10
211,23,9
108,656,1
302,1374,11
71,1276,10
59,126,7
256,67,1
287,1442,11
111,602,14
212,972,6
114,603,14
118,600,14
118,606,14
240,1153,13
269,14,7
328,1054,4
164,278,3
282,1259,13
27,1259,10
245,1271,12
327,1055,4
209,969,6
330,983,5
234,1357,11
69,538,12
