height,width,label
0,13,8
0,42,6
0,43,6
0,45,6
0,50,6
0,52,6
0,56,6
0,57,6
0,101,8
0,170,4
0,181,2
0,190,2
1,14,8
1,18,7
1,34,3
1,44,6
1,45,6
1,46,6
1,49,6
1,51,6
1,53,6
1,95,8
1,118,8
1,164,4
1,165,4
1,173,4
1,174,4
1,175,4
2,23,3
2,39,6
2,42,6
2,45,6
2,46,6
2,47,6
2,48,6
2,110,8
2,119,8
2,165,4
2,173,4
2,192,2
2,202,2
3,39,6
3,41,6
3,42,6
3,45,6
3,46,6
3,53,6
3,172,4
3,176,4
3,186,2
3,187,2
4,39,6
4,43,6
4,44,6
4,46,6
4,48,6
4,49,6
4,51,6
4,90,2
4,97,8
4,205,3
5,14,8
5,34,6
5,35,6
5,37,6
5,38,6
5,41,6
5,44,6
5,46,6
5,48,6
5,50,6
5,105,8
5,169,4
5,175,4
5,206,3
5,216,3
6,33,6
6,34,6
6,37,6
6,42,6
6,43,6
6,44,6
6,46,6
6,98,8
6,102,8
6,107,8
6,164,9
6,169,4
6,172,4
7,35,6
7,40,6
7,41,6
7,45,6
7,47,6
7,102,8
7,155,3
7,164,9
7,171,4
7,174,4
7,185,2
8,33,6
8,34,6
8,36,6
8,40,6
8,41,6
8,48,6
8,104,8
8,107,8
8,121,8
8,171,4
8,178,4
8,219,3
9,31,6
9,32,6
9,41,6
9,47,6
9,105,8
9,111,8
10,28,3
10,35,6
10,36,6
10,40,6
10,42,6
10,43,6
10,44,6
10,47,6
10,48,6
10,51,2
10,60,2
10,146,3
10,188,2
10,191,2
11,1,8
11,36,6
11,38,6
11,39,6
11,40,6
11,44,6
11,94,7
11,146,3
11,161,3
11,180,4
11,191,2
12,35,6
12,36,6
12,37,6
12,39,6
12,40,6
12,42,6
12,43,6
12,44,6
12,73,9
12,97,7
12,98,7
12,116,8
12,166,9
12,185,9
13,35,6
13,37,6
13,42,6
13,43,6
13,108,8
13,109,8
13,110,8
13,188,2
14,5,8
14,28,3
14,31,6
14,34,6
14,36,6
14,37,6
14,42,6
14,55,2
14,92,7
14,97,7
14,132,5
14,170,4
14,196,2
15,5,8
15,38,6
15,98,7
15,141,3
15,182,4
15,189,2
15,194,2
16,32,6
16,36,6
16,93,7
16,191,2
17,0,8
17,30,6
17,31,6
17,34,6
17,62,1
17,69,9
17,91,7
17,94,7
17,97,7
17,183,4
18,32,6
18,36,6
18,46,1
18,81,9
18,91,7
18,98,7
18,178,4
18,215,4
18,216,4
19,28,6
19,31,6
19,34,6
19,36,6
19,39,1
19,91,7
19,140,3
19,173,4
19,174,4
19,175,4
19,177,4
19,182,4
19,184,4
20,28,6
20,34,6
20,35,6
20,89,7
20,92,7
20,97,7
20,110,8
20,180,4
21,10,3
21,27,6
21,31,6
21,33,6
21,34,6
21,35,6
21,83,9
21,93,7
21,102,7
21,134,5
21,179,4
21,213,4
22,10,3
22,31,6
22,36,2
22,51,1
22,83,9
22,102,8
22,144,3
22,179,4
22,216,4
23,24,6
23,27,6
23,28,6
23,85,9
23,185,4
24,22,6
24,29,6
24,47,9
24,54,1
24,79,3
24,84,9
24,113,8
24,141,3
24,143,3
24,176,4
24,180,4
24,184,4
25,22,6
25,84,9
25,85,7
26,17,3
26,20,6
26,23,6
26,26,6
26,31,2
26,118,8
26,178,4
26,187,4
26,195,4
27,12,3
27,21,6
27,24,6
27,26,6
27,27,6
27,71,3
27,138,5
27,166,8
27,193,4
28,18,6
28,29,2
28,87,7
28,135,5
28,164,8
28,180,4
28,181,4
29,1,3
29,18,6
29,21,6
29,22,6
29,139,5
29,158,8
29,219,3
